Processing generation 439000; best fitness = 1.2216202623
Processing generation 440000; best fitness = 1.22164529343
Processing generation 441000; best fitness = 1.22180705149
Processing generation 442000; best fitness = 1.22186781315
Processing generation 443000; best fitness = 1.2218789865
Processing generation 444000; best fitness = 1.22199923929
Processing generation 445000; best fitness = 1.22200913291
Processing generation 446000; best fitness = 1.22222652633
Processing generation 447000; best fitness = 1.22222652633
Processing generation 448000; best fitness = 1.22223089137
Processing generation 449000; best fitness = 1.22253073928
Processing generation 450000; best fitness = 1.2225591937
Processing generation 451000; best fitness = 1.22261302069
Processing generation 452000; best fitness = 1.22275881519
Processing generation 453000; best fitness = 1.2227787873
Processing generation 454000; best fitness = 1.22342230494
Processing generation 455000; best fitness = 1.22414590555
Processing generation 456000; best fitness = 1.22463059484
Processing generation 457000; best fitness = 1.22519874284
Processing generation 458000; best fitness = 1.22528609557
Processing generation 459000; best fitness = 1.22575487229
Processing generation 460000; best fitness = 1.2257630622
Processing generation 461000; best fitness = 1.22580170105
Processing generation 462000; best fitness = 1.22616075113
Processing generation 463000; best fitness = 1.22618458899
Processing generation 464000; best fitness = 1.22621357587
Processing generation 465000; best fitness = 1.22626162041
Processing generation 466000; best fitness = 1.22634209512
Processing generation 467000; best fitness = 1.22652809379
Processing generation 468000; best fitness = 1.22652809379
Processing generation 469000; best fitness = 1.22655833902
Processing generation 470000; best fitness = 1.22656814822
Processing generation 471000; best fitness = 1.22659483771
Processing generation 472000; best fitness = 1.2266786268
Processing generation 473000; best fitness = 1.22672031829
Processing generation 474000; best fitness = 1.22678592535
Processing generation 475000; best fitness = 1.22678592535
Processing generation 476000; best fitness = 1.22686341083
Processing generation 477000; best fitness = 1.22690221695
Processing generation 478000; best fitness = 1.22691506289
Processing generation 479000; best fitness = 1.22702181909
Processing generation 480000; best fitness = 1.23475403002
Processing generation 481000; best fitness = 1.23475403002
Processing generation 482000; best fitness = 1.23475403002
Processing generation 483000; best fitness = 1.23483843674
Processing generation 484000; best fitness = 1.23485626779
Processing generation 485000; best fitness = 1.23489402785
Processing generation 486000; best fitness = 1.23489402785
Processing generation 487000; best fitness = 1.23494909803
Processing generation 488000; best fitness = 1.23499545504
Processing generation 489000; best fitness = 1.23511758805
Processing generation 490000; best fitness = 1.23512212926
Processing generation 491000; best fitness = 1.23519466644
Processing generation 492000; best fitness = 1.23550974802
Processing generation 493000; best fitness = 1.23551602152
Processing generation 494000; best fitness = 1.23551602152
Processing generation 495000; best fitness = 1.23558101786
Processing generation 496000; best fitness = 1.23559061324
Processing generation 497000; best fitness = 1.23598869238
Processing generation 498000; best fitness = 1.23601614993
Processing generation 499000; best fitness = 1.23601614993
Processing generation 500000; best fitness = 1.23609952452
