
Processing generation 298000; best fitness = 0.921001338622
Processing generation 299000; best fitness = 0.921001338622
Processing generation 300000; best fitness = 0.921001338622
Processing generation 301000; best fitness = 0.921001338622
Processing generation 302000; best fitness = 0.921001338622
Processing generation 303000; best fitness = 0.921001338622
Processing generation 304000; best fitness = 0.921001338622
Processing generation 305000; best fitness = 0.921001338622
Processing generation 306000; best fitness = 0.921004109191
Processing generation 307000; best fitness = 0.921801798508
Processing generation 308000; best fitness = 0.921801798508
Processing generation 309000; best fitness = 0.921829272255
Processing generation 310000; best fitness = 0.921832669437
Processing generation 311000; best fitness = 0.921832669437
Processing generation 312000; best fitness = 0.921832669437
Processing generation 313000; best fitness = 0.921832669437
Processing generation 314000; best fitness = 0.921832669437
Processing generation 315000; best fitness = 0.921832669437
Processing generation 316000; best fitness = 0.921832669437
Processing generation 317000; best fitness = 0.921832669437
Processing generation 318000; best fitness = 0.921832669437
Processing generation 319000; best fitness = 0.92183385783
Processing generation 320000; best fitness = 0.921949960301
Processing generation 321000; best fitness = 0.921952831211
Processing generation 322000; best fitness = 0.921952831211
Processing generation 323000; best fitness = 0.921952831211
Processing generation 324000; best fitness = 0.921952831211
Processing generation 325000; best fitness = 0.921952831211
Processing generation 326000; best fitness = 0.921952831211
Processing generation 327000; best fitness = 0.921952831211
Processing generation 328000; best fitness = 0.921996549936
Processing generation 329000; best fitness = 0.921996549936
Processing generation 330000; best fitness = 0.921996549936
Processing generation 331000; best fitness = 0.921996549936
Processing generation 332000; best fitness = 0.921996549936
Processing generation 333000; best fitness = 0.921996549936
Processing generation 334000; best fitness = 0.922374583743
Processing generation 335000; best fitness = 0.922374583743
Processing generation 336000; best fitness = 0.922374583743
Processing generation 337000; best fitness = 0.922521138515
Processing generation 338000; best fitness = 0.922562480924
Processing generation 339000; best fitness = 0.922562480924
Processing generation 340000; best fitness = 0.922586390968
Processing generation 341000; best fitness = 0.922798959426
Processing generation 342000; best fitness = 0.922802990271
Processing generation 343000; best fitness = 0.922840113289
Processing generation 344000; best fitness = 0.922840113289
Processing generation 345000; best fitness = 0.922847010234
Processing generation 346000; best fitness = 0.922870851405
Processing generation 347000; best fitness = 0.922900413535
Processing generation 348000; best fitness = 0.922931992488
Processing generation 349000; best fitness = 0.922931992488
Processing generation 350000; best fitness = 0.922931992488
Processing generation 351000; best fitness = 0.922931992488
Processing generation 352000; best fitness = 0.922931992488
Processing generation 353000; best fitness = 0.922931992488
Processing generation 354000; best fitness = 0.922931992488
Processing generation 355000; best fitness = 0.922942597078
Processing generation 356000; best fitness = 0.922942597078
Processing generation 357000; best fitness = 0.922942597078
Processing generation 358000; best fitness = 0.922942597078
Processing generation 359000; best fitness = 0.922942597078
Processing generation 360000; best fitness = 0.922951415105
Processing generation 361000; best fitness = 0.922980066464
Processing generation 362000; best fitness = 0.922980066464
Processing generation 363000; best fitness = 0.922980066464
Processing generation 364000; best fitness = 0.92381199676
Processing generation 365000; best fitness = 0.923899535013
Processing generation 366000; best fitness = 0.923899943656
Processing generation 367000; best fitness = 0.923899943656
Processing generation 368000; best fitness = 0.923899943656
Processing generation 369000; best fitness = 0.923899943656
Processing generation 370000; best fitness = 0.923899943656
Processing generation 371000; best fitness = 0.923899943656
Processing generation 372000; best fitness = 0.923899943656
Processing generation 373000; best fitness = 0.923899943656
Processing generation 374000; best fitness = 0.923899943656
Processing generation 375000; best fitness = 0.923899943656
Processing generation 376000; best fitness = 0.924069172936
Processing generation 377000; best fitness = 0.924069172936
Processing generation 378000; best fitness = 0.924069172936
Processing generation 379000; best fitness = 0.924069172936
Processing generation 380000; best fitness = 0.924069172936
Processing generation 381000; best fitness = 0.924069172936
Processing generation 382000; best fitness = 0.924069172936
Processing generation 383000; best fitness = 0.924069172936
Processing generation 384000; best fitness = 0.924069172936
Processing generation 385000; best fitness = 0.924086826113
Processing generation 386000; best fitness = 0.924086826113
Processing generation 387000; best fitness = 0.924472839751
Processing generation 388000; best fitness = 0.924472839751
Processing generation 389000; best fitness = 0.924472839751
Processing generation 390000; best fitness = 0.924472839751
Processing generation 391000; best fitness = 0.924472839751
Processing generation 392000; best fitness = 0.924480240824
Processing generation 393000; best fitness = 0.924480240824
Processing generation 394000; best fitness = 0.924736788728
Processing generation 395000; best fitness = 0.924736788728
Processing generation 396000; best fitness = 0.924751134092
Processing generation 397000; best fitness = 0.924751134092
Processing generation 398000; best fitness = 0.924751134092
Processing generation 399000; best fitness = 0.924751134092
Processing generation 400000; best fitness = 0.924751134092
Processing generation 401000; best fitness = 0.924751134092
Processing generation 402000; best fitness = 0.924751134092
Processing generation 403000; best fitness = 0.924751134092
Processing generation 404000; best fitness = 0.924751134092
Processing generation 405000; best fitness = 0.924751134092
Processing generation 406000; best fitness = 0.924751134092
Processing generation 407000; best fitness = 0.925512760894
Processing generation 408000; best fitness = 0.925563002551
Processing generation 409000; best fitness = 0.925926982613
Processing generation 410000; best fitness = 0.925926982613
Processing generation 411000; best fitness = 0.927654300469
Processing generation 412000; best fitness = 0.927654300469
Processing generation 413000; best fitness = 0.927654300469
Processing generation 414000; best fitness = 0.927654300469
Processing generation 415000; best fitness = 0.927654300469
Processing generation 416000; best fitness = 0.927802338886
Processing generation 417000; best fitness = 0.927802338886
Processing generation 418000; best fitness = 0.927802447895
Processing generation 419000; best fitness = 0.928106689372
Processing generation 420000; best fitness = 0.928106689372
