Processing generation 304000; best fitness = 1.17496503196
Processing generation 305000; best fitness = 1.17519879656
Processing generation 306000; best fitness = 1.17549388813
Processing generation 307000; best fitness = 1.17579321325
Processing generation 308000; best fitness = 1.17584744497
Processing generation 309000; best fitness = 1.17590650612
Processing generation 310000; best fitness = 1.17595933435
Processing generation 311000; best fitness = 1.1760307118
Processing generation 312000; best fitness = 1.1762827682
Processing generation 313000; best fitness = 1.17630211296
Processing generation 314000; best fitness = 1.17635668132
Processing generation 315000; best fitness = 1.17643641363
Processing generation 316000; best fitness = 1.1764602879
Processing generation 317000; best fitness = 1.17649885292
Processing generation 318000; best fitness = 1.17650313355
Processing generation 319000; best fitness = 1.17654993008
Processing generation 320000; best fitness = 1.17655504293
Processing generation 321000; best fitness = 1.17659320849
Processing generation 322000; best fitness = 1.17666550717
Processing generation 323000; best fitness = 1.17671204807
Processing generation 324000; best fitness = 1.17680735697
Processing generation 325000; best fitness = 1.17714625384
Processing generation 326000; best fitness = 1.17716757342
Processing generation 327000; best fitness = 1.17724608719
Processing generation 328000; best fitness = 1.17765963766
Processing generation 329000; best fitness = 1.17766080286
Processing generation 330000; best fitness = 1.17828622594
Processing generation 331000; best fitness = 1.17927033693
Processing generation 332000; best fitness = 1.17931864633
Processing generation 333000; best fitness = 1.17943542367
Processing generation 334000; best fitness = 1.17951670683
Processing generation 335000; best fitness = 1.17954983158
Processing generation 336000; best fitness = 1.17956512897
Processing generation 337000; best fitness = 1.17960713188
Processing generation 338000; best fitness = 1.17989856334
Processing generation 339000; best fitness = 1.18006296666
Processing generation 340000; best fitness = 1.1804277796
Processing generation 341000; best fitness = 1.18058237625
Processing generation 342000; best fitness = 1.18075592277
Processing generation 343000; best fitness = 1.18075642407
Processing generation 344000; best fitness = 1.18098570828
Processing generation 345000; best fitness = 1.1811209077
Processing generation 346000; best fitness = 1.18156864326
Processing generation 347000; best fitness = 1.18164552148
Processing generation 348000; best fitness = 1.1819092939
Processing generation 349000; best fitness = 1.18211185429
Processing generation 350000; best fitness = 1.18211986104
Processing generation 351000; best fitness = 1.18215663724
Processing generation 352000; best fitness = 1.18217907692
Processing generation 353000; best fitness = 1.18238614149
Processing generation 354000; best fitness = 1.1826103491
Processing generation 355000; best fitness = 1.18277748373
Processing generation 356000; best fitness = 1.18279617061
Processing generation 357000; best fitness = 1.18283543346
Processing generation 358000; best fitness = 1.18304296655
Processing generation 359000; best fitness = 1.18344439762
Processing generation 360000; best fitness = 1.18359383395
Processing generation 361000; best fitness = 1.18363754824
Processing generation 362000; best fitness = 1.18393101132
Processing generation 363000; best fitness = 1.18409741253
Processing generation 364000; best fitness = 1.18428872168
Processing generation 365000; best fitness = 1.18444996674
Processing generation 366000; best fitness = 1.18445837917
Processing generation 367000; best fitness = 1.18466069468
Processing generation 368000; best fitness = 1.18470587711
Processing generation 369000; best fitness = 1.18478610056
Processing generation 370000; best fitness = 1.18480335446
