Processing generation 283000; best fitness = 1.25842081116
Processing generation 284000; best fitness = 1.25850609431
Processing generation 285000; best fitness = 1.25863207601
Processing generation 286000; best fitness = 1.25880471492
Processing generation 287000; best fitness = 1.25893092384
Processing generation 288000; best fitness = 1.2589428045
Processing generation 289000; best fitness = 1.25918064837
Processing generation 290000; best fitness = 1.2592310966
Processing generation 291000; best fitness = 1.25932311321
Processing generation 292000; best fitness = 1.25933289841
Processing generation 293000; best fitness = 1.25948432212
Processing generation 294000; best fitness = 1.25961198549
Processing generation 295000; best fitness = 1.25974309804
Processing generation 296000; best fitness = 1.25978120448
Processing generation 297000; best fitness = 1.25984982163
Processing generation 298000; best fitness = 1.25988867443
Processing generation 299000; best fitness = 1.26010695483
Processing generation 300000; best fitness = 1.26022274164
Processing generation 301000; best fitness = 1.2603461835
Processing generation 302000; best fitness = 1.26040015759
Processing generation 303000; best fitness = 1.26040819758
Processing generation 304000; best fitness = 1.26045090104
Processing generation 305000; best fitness = 1.26046426421
Processing generation 306000; best fitness = 1.26062556102
Processing generation 307000; best fitness = 1.26071306716
Processing generation 308000; best fitness = 1.26075521455
Processing generation 309000; best fitness = 1.26086710885
Processing generation 310000; best fitness = 1.26092204857
Processing generation 311000; best fitness = 1.26121378075
Processing generation 312000; best fitness = 1.26123082774
Processing generation 313000; best fitness = 1.26130054342
Processing generation 314000; best fitness = 1.26131918262
Processing generation 315000; best fitness = 1.26145571345
Processing generation 316000; best fitness = 1.26148089487
Processing generation 317000; best fitness = 1.26179242713
Processing generation 318000; best fitness = 1.26182633956
Processing generation 319000; best fitness = 1.26185788542
Processing generation 320000; best fitness = 1.26207719022
Processing generation 321000; best fitness = 1.26218550392
Processing generation 322000; best fitness = 1.26249031469
Processing generation 323000; best fitness = 1.26264478939
Processing generation 324000; best fitness = 1.2627628623
Processing generation 325000; best fitness = 1.26279389172
Processing generation 326000; best fitness = 1.26286016205
Processing generation 327000; best fitness = 1.26288814647
Processing generation 328000; best fitness = 1.26289304299
Processing generation 329000; best fitness = 1.26293405133
Processing generation 330000; best fitness = 1.26299889636
Processing generation 331000; best fitness = 1.26315318939
Processing generation 332000; best fitness = 1.26317268303
Processing generation 333000; best fitness = 1.26348398575
Processing generation 334000; best fitness = 1.2635063832
Processing generation 335000; best fitness = 1.2639005838
Processing generation 336000; best fitness = 1.26394045785
Processing generation 337000; best fitness = 1.26394761797
Processing generation 338000; best fitness = 1.26427017624
Processing generation 339000; best fitness = 1.26436789432
Processing generation 340000; best fitness = 1.26453777978
Processing generation 341000; best fitness = 1.2645425879
