Processing generation 317000; best fitness = 1.11808435989
Processing generation 318000; best fitness = 1.11808435989
Processing generation 319000; best fitness = 1.11808517573
Processing generation 320000; best fitness = 1.11808517573
Processing generation 321000; best fitness = 1.11808517573
Processing generation 322000; best fitness = 1.11808517573
Processing generation 323000; best fitness = 1.11808517573
Processing generation 324000; best fitness = 1.11808614437
Processing generation 325000; best fitness = 1.11808758339
Processing generation 326000; best fitness = 1.11808758339
Processing generation 327000; best fitness = 1.11808758339
Processing generation 328000; best fitness = 1.11808841606
Processing generation 329000; best fitness = 1.11808841606
Processing generation 330000; best fitness = 1.11808841606
Processing generation 331000; best fitness = 1.11808841606
Processing generation 332000; best fitness = 1.11808841606
Processing generation 333000; best fitness = 1.11808841606
Processing generation 334000; best fitness = 1.1180998534
Processing generation 335000; best fitness = 1.1180998534
Processing generation 336000; best fitness = 1.118599127
Processing generation 337000; best fitness = 1.118599127
Processing generation 338000; best fitness = 1.118599127
Processing generation 339000; best fitness = 1.11889501174
Processing generation 340000; best fitness = 1.11889501174
Processing generation 341000; best fitness = 1.11889501174
Processing generation 342000; best fitness = 1.11889501174
Processing generation 343000; best fitness = 1.11914681647
Processing generation 344000; best fitness = 1.1192195304
Processing generation 345000; best fitness = 1.1192195304
Processing generation 346000; best fitness = 1.1192195304
Processing generation 347000; best fitness = 1.11928388209
Processing generation 348000; best fitness = 1.11928559233
Processing generation 349000; best fitness = 1.11928559233
Processing generation 350000; best fitness = 1.11928559233
Processing generation 351000; best fitness = 1.11928559233
Processing generation 352000; best fitness = 1.11928559233
Processing generation 353000; best fitness = 1.11928559233
Processing generation 354000; best fitness = 1.11928559233
Processing generation 355000; best fitness = 1.11928559233
Processing generation 356000; best fitness = 1.11928565467
Processing generation 357000; best fitness = 1.11928565467
Processing generation 358000; best fitness = 1.11928565467
Processing generation 359000; best fitness = 1.11928565467
Processing generation 360000; best fitness = 1.11928565467
Processing generation 361000; best fitness = 1.11928565467
Processing generation 362000; best fitness = 1.11928565467
Processing generation 363000; best fitness = 1.11928565467
Processing generation 364000; best fitness = 1.11928565467
Processing generation 365000; best fitness = 1.11928565467
Processing generation 366000; best fitness = 1.11928565467
Processing generation 367000; best fitness = 1.11928565467
Processing generation 368000; best fitness = 1.11936909732
Processing generation 369000; best fitness = 1.11936909732
Processing generation 370000; best fitness = 1.11937718873
Processing generation 371000; best fitness = 1.11937718873
Processing generation 372000; best fitness = 1.1193965578
Processing generation 373000; best fitness = 1.11944104854
Processing generation 374000; best fitness = 1.11944432722
Processing generation 375000; best fitness = 1.11946060352
Processing generation 376000; best fitness = 1.11946060352
Processing generation 377000; best fitness = 1.11961862433
Processing generation 378000; best fitness = 1.11961862433
Processing generation 379000; best fitness = 1.11961862433
Processing generation 380000; best fitness = 1.11984741466
Processing generation 381000; best fitness = 1.11984741466
Processing generation 382000; best fitness = 1.11984741466
Processing generation 383000; best fitness = 1.11984741466
Processing generation 384000; best fitness = 1.11984741466
Processing generation 385000; best fitness = 1.11984741466
Processing generation 386000; best fitness = 1.11988850841
Processing generation 387000; best fitness = 1.11988850841
Processing generation 388000; best fitness = 1.11988850841
Processing generation 389000; best fitness = 1.12002290338
Processing generation 390000; best fitness = 1.12012590701
Processing generation 391000; best fitness = 1.1201689693
Processing generation 392000; best fitness = 1.12017069941
Processing generation 393000; best fitness = 1.12020141944
Processing generation 394000; best fitness = 1.12020141944
Processing generation 395000; best fitness = 1.12020141944
Processing generation 396000; best fitness = 1.12020141944
Processing generation 397000; best fitness = 1.12020141944
Processing generation 398000; best fitness = 1.12021826721
Processing generation 399000; best fitness = 1.12023201199
Processing generation 400000; best fitness = 1.12023201199
Processing generation 401000; best fitness = 1.12023201199
Processing generation 402000; best fitness = 1.12023201199
Processing generation 403000; best fitness = 1.12023201199
Processing generation 404000; best fitness = 1.12023201199
Processing generation 405000; best fitness = 1.12023201199
Processing generation 406000; best fitness = 1.12023201199
Processing generation 407000; best fitness = 1.12023201199
Processing generation 408000; best fitness = 1.12023201199
Processing generation 409000; best fitness = 1.12023201199
Processing generation 410000; best fitness = 1.12023201199
Processing generation 411000; best fitness = 1.12023711607
Processing generation 412000; best fitness = 1.12023711607
Processing generation 413000; best fitness = 1.12023711607
Processing generation 414000; best fitness = 1.12023711607
Processing generation 415000; best fitness = 1.12023711607
Processing generation 416000; best fitness = 1.12023711607
Processing generation 417000; best fitness = 1.12024758988
Processing generation 418000; best fitness = 1.12024758988
Processing generation 419000; best fitness = 1.12024758988
Processing generation 420000; best fitness = 1.12024758988
Processing generation 421000; best fitness = 1.12025191785
Processing generation 422000; best fitness = 1.12025191785
Processing generation 423000; best fitness = 1.1202559307
Processing generation 424000; best fitness = 1.1202559307
Processing generation 425000; best fitness = 1.1202559307
Processing generation 426000; best fitness = 1.1202559307
Processing generation 427000; best fitness = 1.1202559307
Processing generation 428000; best fitness = 1.1202559307
Processing generation 429000; best fitness = 1.1202559307
Processing generation 430000; best fitness = 1.1202559307
Processing generation 431000; best fitness = 1.12030283036
Processing generation 432000; best fitness = 1.12030283036
Processing generation 433000; best fitness = 1.12030283036
Processing generation 434000; best fitness = 1.12031644839
Processing generation 435000; best fitness = 1.1203173849
Processing generation 436000; best fitness = 1.1203173849
Processing generation 437000; best fitness = 1.1203173849
Processing generation 438000; best fitness = 1.1203173849
Processing generation 439000; best fitness = 1.1203173849
Processing generation 440000; best fitness = 1.12046831305
Processing generation 441000; best fitness = 1.12046831305
Processing generation 442000; best fitness = 1.12046831305
Processing generation 443000; best fitness = 1.12046831305
Processing generation 444000; best fitness = 1.120502329
Processing generation 445000; best fitness = 1.120502329
Processing generation 446000; best fitness = 1.120502329
Processing generation 447000; best fitness = 1.120502329
Processing generation 448000; best fitness = 1.120502329
Processing generation 449000; best fitness = 1.1205165491
Processing generation 450000; best fitness = 1.1205165491
Processing generation 451000; best fitness = 1.1205165491
Processing generation 452000; best fitness = 1.1205165491
Processing generation 453000; best fitness = 1.1205165491
Processing generation 454000; best fitness = 1.1205165491
Processing generation 455000; best fitness = 1.1205165491
Processing generation 456000; best fitness = 1.1205165491
Processing generation 457000; best fitness = 1.12051695976
Processing generation 458000; best fitness = 1.12051695976
Processing generation 459000; best fitness = 1.12051695976
Processing generation 460000; best fitness = 1.1206117421
Processing generation 461000; best fitness = 1.1206117421
Processing generation 462000; best fitness = 1.12061495109
Processing generation 463000; best fitness = 1.12061495109
Processing generation 464000; best fitness = 1.12061495109
Processing generation 465000; best fitness = 1.12061495109
Processing generation 466000; best fitness = 1.12061495109
Processing generation 467000; best fitness = 1.12061899834
Processing generation 468000; best fitness = 1.12061899834
Processing generation 469000; best fitness = 1.12061899834
Processing generation 470000; best fitness = 1.12061899834
Processing generation 471000; best fitness = 1.12063841935
Processing generation 472000; best fitness = 1.12063841935
Processing generation 473000; best fitness = 1.12063841935
Processing generation 474000; best fitness = 1.12068776579
Processing generation 475000; best fitness = 1.12068776579
Processing generation 476000; best fitness = 1.12068776579
Processing generation 477000; best fitness = 1.12068776579
Processing generation 478000; best fitness = 1.12068776579
Processing generation 479000; best fitness = 1.12069554734
Processing generation 480000; best fitness = 1.12069554734
Processing generation 481000; best fitness = 1.12069554734
Processing generation 482000; best fitness = 1.12069554734
Processing generation 483000; best fitness = 1.12069691628
Processing generation 484000; best fitness = 1.12069691628
Processing generation 485000; best fitness = 1.12069691628
Processing generation 486000; best fitness = 1.12069691628
Processing generation 487000; best fitness = 1.12069691628
Processing generation 488000; best fitness = 1.12069691628
Processing generation 489000; best fitness = 1.12069691628
Processing generation 490000; best fitness = 1.12069771396
Processing generation 491000; best fitness = 1.12069771396
Processing generation 492000; best fitness = 1.12069771396
Processing generation 493000; best fitness = 1.12069771396
Processing generation 494000; best fitness = 1.12069771396
Processing generation 495000; best fitness = 1.12069771396
Processing generation 496000; best fitness = 1.12069771396
Processing generation 497000; best fitness = 1.12069771396
Processing generation 498000; best fitness = 1.12069771396
Processing generation 499000; best fitness = 1.12069771396
Processing generation 500000; best fitness = 1.12069771396
