Processing generation 488000; best fitness = 0.724853708454
Processing generation 489000; best fitness = 0.725005977513
Processing generation 490000; best fitness = 0.725019729864
Processing generation 491000; best fitness = 0.725028022165
Processing generation 492000; best fitness = 0.725119259592
Processing generation 493000; best fitness = 0.725313875843
Processing generation 494000; best fitness = 0.725349738515
Processing generation 495000; best fitness = 0.725449942584
Processing generation 496000; best fitness = 0.725508196596
Processing generation 497000; best fitness = 0.725564256919
Processing generation 498000; best fitness = 0.725613243563
Processing generation 499000; best fitness = 0.725628298246
Processing generation 500000; best fitness = 0.725673817804
